海南频道,#genre#

海南卫视频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
海南风景欣赏1,http://vip.syzkgg.com:8686/rtp/239.253.64.52:5140
海南风景欣赏2,http://vip.syzkgg.com:8686/rtp/239.253.64.80:5140
海南风景欣赏3,http://vip.syzkgg.com:8686/rtp/239.253.64.82:5140
海南公共,http://vip.syzkgg.com:8686/rtp/239.253.64.14:5140
海南少儿,http://vip.syzkgg.com:8686/rtp/239.253.64.124:5140
海南文旅,http://vip.syzkgg.com:8686/rtp/239.253.64.122:5140
海南新闻,http://vip.syzkgg.com:8686/rtp/239.253.64.121:5140
海南自贸,http://vip.syzkgg.com:8686/rtp/239.253.64.119:5140
海口1台,http://vip.syzkgg.com:8686/rtp/239.253.64.6:5140
海口2台,http://vip.syzkgg.com:8686/rtp/239.253.64.7:5140
海南卫视,http://vip.syzkgg.com:8686/rtp/239.253.64.253:5140
三沙卫视,http://vip.syzkgg.com:8686/rtp/239.253.64.112:5140
IPTV法治,http://vip.syzkgg.com:8686/rtp/239.253.64.213:5140
琼海TV,http://vip.syzkgg.com:8686/rtp/239.253.64.106:5140
文昌TV,http://vip.syzkgg.com:8686/rtp/239.253.64.105:5140
三亚1,http://vip.syzkgg.com:8686/rtp/239.253.64.156:5140
琼中TV,http://vip.syzkgg.com:8686/rtp/239.253.64.165:5140
三亚1,http://vip.syzkgg.com:8686/rtp/239.253.64.152:5140
屯昌TV,http://vip.syzkgg.com:8686/rtp/239.253.64.117:5140
万宁综合,http://vip.syzkgg.com:8686/rtp/239.253.64.167:5140
五指山TV,http://vip.syzkgg.com:8686/rtp/239.253.64.69:5140
保亭TV,http://vip.syzkgg.com:8686/rtp/239.253.64.159:5140
白沙TV,http://vip.syzkgg.com:8686/rtp/239.253.64.118:5140
昌江TV,http://vip.syzkgg.com:8686/rtp/239.253.64.108:5140
澄迈TV,http://vip.syzkgg.com:8686/rtp/239.253.64.109:5140
儋州TV,http://vip.syzkgg.com:8686/rtp/239.253.64.107:5140
定安TV,http://vip.syzkgg.com:8686/rtp/239.253.64.110:5140
东方TV,http://vip.syzkgg.com:8686/rtp/239.253.64.111:5140
乐东TV,http://vip.syzkgg.com:8686/rtp/239.253.64.166:5140
临高,http://vip.syzkgg.com:8686/rtp/239.253.64.155:5140
陵水TV,http://vip.syzkgg.com:8686/rtp/239.253.64.116:5140
琼中TV,http://vip.syzkgg.com:8686/rtp/239.253.64.165:5140


海南频道1,#genre#

海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?IAS
海南文旅,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000322/index.m3u8?IAS
海南公共,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000382/index.m3u8?IAS
海南自贸,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000320/index.m3u8?IAS
海南新闻,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/08984400000000060000000000000321/index.m3u8?IAS
海南卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000017/index.m3u8?IAS
视听海南,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/08984400000000060000000000000440/index.m3u8?IAS
三沙卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000208/index.m3u8?IAS
海口1,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000133/index.m3u8?IAS
海口2,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000134/index.m3u8?IAS
海口3,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000135/index.m3u8?IAS
琼海综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=qhzh5
